scale_name,root,column_c,column_d,column_e,column_f
"Superlocrian,Diminished2",false,1,3,4,6
Todib71,false,1,3,6,7
Todib72,false,1,3,6,7
UltraLocrian1,false,1,3,4,6
UltraLocrian2,false,1,3,4,6
Major,false,2,4,5,7
Dorian,false,2,3,5,7
Phrygian,false,1,3,5,7
Lydian,false,2,4,6,7
Mixolydian,false,2,4,5,7
Minor,false,2,3,5,7
Locrian,false,1,3,5,6
HarmonicMinor,false,2,3,5,7
HarmonicMajor,false,2,4,5,7
MedolicMinor,false,2,3,5,7
HungarianGypsy1,false,2,3,6,7
HungarianGypsy2,false,2,3,6,7
HungarianMajor,false,3,4,6,7
Enigmatic,false,1,4,6,8
Persian,false,1,4,5,6
CompositeBlues,false,3,4,5,6
DorianBebop,false,2,3,4,5
AdonaiMalakh1,false,1,2,3,5
AdonaiMalakh2,false,1,2,3,5
Algerian,false,2,3,5,6
AuxillaryDiminished,false,2,3,5,6
BluesDiminished,false,1,3,4,6
BluesOctatonic,false,2,3,5,6
ChromaticOctaMirror,false,1,2,3,4
Diminished,false,2,3,5,6
DorianAeolian1,false,2,3,5,7
DorianAoelian2,false,2,3,5,7
Enigmaticalternate1,false,1,4,5,6
Enigmaticalterate2,false,1,4,5,6
Half-DimiishedBebop,false,1,3,5,6
Half-DiminishedSymmetrrical,false,1,3,4,6
HarmonicNeapolitanMinor1,false,1,2,3,5
HarmonicNeapolitanMinor2,false,1,2,3,5
HarmonicNeapolitanMinor3,false,1,2,3,5
HungarianMinorb2,false,1,2,3,6
JGOctatonic,false,1,3,4,5
JGOctatonicall3b,false,1,3,4,5
Lydianb3,false,2,3,4,6
LydianDimb7,false,2,3,4,6
LydianDominantalternate,false,2,4,6,7
MagenAbot,false,1,3,4,6
"MagenAbot(3b2#)",false,1,3,4,6
MagenAbotallflats,false,1,3,4,6
MagenAbotallsharps,false,1,3,4,6
MaqamHijaz,false,1,4,5,7
MaqamShadd'araban1,false,1,3,4,5
MaqamShadd'araban2,false,1,3,4,5
MinorBebop1,false,2,3,4,5
MinorBebop2,false,2,3,4,5
MinorGypsy,false,2,3,6,7
Neveseri1,false,1,3,6,7
Neveseri2,false,1,3,6,7
Oriental2,false,1,4,5,6
PhrygianAeolian1,false,1,2,3,5
PhrygianAeolian2,false,1,2,3,5
PhrygianLocrian1,false,1,3,5,6
PhrygianLocrian2,false,1,3,5,6
PhrygianMajor1,false,1,3,4,5
PhrygianMajor2,false,1,3,4,5
Prokofiev1,false,1,3,5,6
Prokofiev2,false,1,3,5,6
Shostakovich1,false,1,3,4,6
Shostakovich2,false,1,3,4,6
Shostakovich3,false,1,3,4,6
Spanish8Tones1,false,1,3,4,5
Spanish8Tones2,false,1,3,4,5
Spanish8Tones3,false,1,3,4,5
UtilityMinor1,false,2,3,5,7
UtilityMinor2,false,2,3,5,7
Zirafkend,false,2,3,5,7
Whole-HalfDim,false,2,3,5,6
Half-WholeDim,false,1,3,4,6
Japanese,false,2,4,5,6
MajorBebop,false,2,4,5,7
MixolydianBebop1,false,2,4,5,7
MixolydianBebop2,false,2,4,5,6
BluesEnneatonic,false,2,3,4,5
ChromaticBebop1,false,1,2,4,5
ChromaticBebop2,false,1,2,4,5
ChromaticDiatonicDorian1,false,1,2,3,5
ChromaticDiatonicDorian2,false,1,2,3,5
ChromaticNonaMirror,false,1,2,3,4
ChromaticPermutedDiatonic,false,1,2,4,5
FullMinor,false,2,3,5,7
FullMinorallflats,false,2,3,5,7
GenusChromaticum1,false,1,3,4,5
GenusChromaticum2,false,1,3,4,5
GenusChromaticum3,false,1,3,4,5
Houseini1,false,2,3,4,5
Houseini2,false,2,3,4,5
Kiourdi,false,2,3,5,6
LydianMixolydian1,false,2,4,5,6
LydianMixolydian2,false,2,4,5,6
MoorishPhrygian1,false,1,4,5,7
MoorishPhrygian2,false,1,3,4,5
MoorishPhrygian3,false,1,4,5,7
MoorishPhrygian4,false,1,3,4,5
MoorishPhrygian5,false,1,3,4,5
SymmetricalNonatonic1,false,1,2,4,6
SymmetricalNonatonic2,false,1,2,4,6
untitledNonatonic1,false,1,2,3,5
untitledNonatonic2,false,1,3,4,5
untitledNonatonic3,false,1,3,4,5
untitledNonatonic4,false,1,3,4,5
Youlan1,false,1,2,4,5
Youlan2,false,1,2,4,5
UntitledDecatonic1,false,2,3,4,5
UntitledDecatonic2,false,2,3,4,5
UntitledDecatonic3,false,1,3,4,5
UntitledDecatonic3,false,1,3,4,5
UntitledDecatonic4,false,1,2,3,5
UntitledDecatonic5,false,1,2,3,5
UntitledDecatonic6,false,1,2,4,5
UntitledDecatonic7,false,1,2,4,5
UntitledDecatonic8,false,1,2,3,4
UntitledDecatonic9,false,1,2,3,4
ChromaticDecaMirror1,false,1,2,3,4
ChromaticDecaMirror2,false,1,2,3,4
Major&Minormixed,false,2,3,4,5
MinorPentatonicDecatonic,false,2,3,4,5
PanDiminishedBlues,false,1,2,3,4
PanLydian,false,2,3,4,5
SymmetricalDecatonic,false,1,2,4,5
